"agent","p_model","subject","model","competence_structure","scenario"
"Xa",0.979866506885716,403,"General",2,1
"Ya",0.0201334931142839,403,"General",2,1
"Xb",0.0201334931142839,403,"General",2,1
"Yb",0.979866506885716,403,"General",2,1
"Xa",0.998220748318415,403,"General",2,2
"Ya",0.00177925168158514,403,"General",2,2
"Xb",0.00177925168158514,403,"General",2,2
"Yb",0.998220748318415,403,"General",2,2
"Xa",0.993538122371396,403,"General",2,3
"Ya",0.00646187762860407,403,"General",2,3
"Xb",0.00646187762860407,403,"General",2,3
"Yb",0.993538122371396,403,"General",2,3
"Xa",0.00012260032691241,403,"General",3,1
"Ya",0.999877399673088,403,"General",3,1
"Xb",0.999877399673088,403,"General",3,1
"Yb",0.00012260032691241,403,"General",3,1
"Xa",0.00014139983456331,403,"General",3,2
"Ya",0.999858600165437,403,"General",3,2
"Xb",0.999858600165437,403,"General",3,2
"Yb",0.00014139983456331,403,"General",3,2
"Xa",0.00206003126835797,403,"General",3,3
"Ya",0.997939968731642,403,"General",3,3
"Xb",0.997939968731642,403,"General",3,3
"Yb",0.00206003126835797,403,"General",3,3
"Xa",0.881308715451303,403,"Learning",1,1
"Ya",0.118691284548697,403,"Learning",1,1
"Xb",0.926380616153426,403,"Learning",1,1
"Yb",0.0736193838465736,403,"Learning",1,1
"Xa",0.961620594090285,403,"Learning",1,2
"Ya",0.0383794059097152,403,"Learning",1,2
"Xb",0.977342178846807,403,"Learning",1,2
"Yb",0.0226578211531931,403,"Learning",1,2
"Xa",0.926380616153426,403,"Learning",1,3
"Ya",0.0736193838465736,403,"Learning",1,3
"Xb",0.971266542338354,403,"Learning",1,3
"Yb",0.0287334576616457,403,"Learning",1,3
"Xa",0.5,403,"Learning",2,1
"Ya",0.5,403,"Learning",2,1
"Xb",0.881308715451303,403,"Learning",2,1
"Yb",0.118691284548697,403,"Learning",2,1
"Xa",0.5,403,"Learning",2,2
"Ya",0.5,403,"Learning",2,2
"Xb",0.961620594090285,403,"Learning",2,2
"Yb",0.0383794059097152,403,"Learning",2,2
"Xa",0.5,403,"Learning",2,3
"Ya",0.5,403,"Learning",2,3
"Xb",0.926380616153426,403,"Learning",2,3
"Yb",0.0736193838465736,403,"Learning",2,3
"Xa",0.881308715451303,403,"Learning",3,1
"Ya",0.118691284548697,403,"Learning",3,1
"Xb",0.0736193838465736,403,"Learning",3,1
"Yb",0.926380616153426,403,"Learning",3,1
"Xa",0.666766205284023,403,"Learning",3,2
"Ya",0.333233794715977,403,"Learning",3,2
"Xb",0.0226578211531931,403,"Learning",3,2
"Yb",0.977342178846807,403,"Learning",3,2
"Xa",0.666766205284023,403,"Learning",3,3
"Ya",0.333233794715977,403,"Learning",3,3
"Xb",0.0807030551905109,403,"Learning",3,3
"Yb",0.919296944809489,403,"Learning",3,3
"Xa",0.932180280229945,403,"Planning",1,1
"Xb",0.0678197197700552,403,"Planning",1,1
"Ya",0.0678197197700552,403,"Planning",1,1
"Yb",0.932180280229945,403,"Planning",1,1
"Xa",0.932180280229945,403,"Planning",1,2
"Xb",0.0678197197700552,403,"Planning",1,2
"Ya",0.0678197197700552,403,"Planning",1,2
"Yb",0.932180280229945,403,"Planning",1,2
"Xa",0.722300661009636,403,"Planning",1,3
"Xb",0.277699338990364,403,"Planning",1,3
"Ya",0.277699338990364,403,"Planning",1,3
"Yb",0.722300661009636,403,"Planning",1,3
"Xa",0.437819776960725,403,"Planning",2,1
