"subject","model","beta","log_likelihood"
483,"Equality",0,-56.1449216253556
483,"Equity",3,-39.2006287894952
483,"Exploitation",0,-56.1449216253556
483,"General",0,-56.1449216253556
483,"Learning",1.5,-53.3540487456891
483,"Planning",5,-38.5747674457603
484,"Equality",0,-56.1449216253556
484,"Equity",2.5,-42.2801326341326
484,"Exploitation",0,-56.1449216253556
484,"General",0,-56.1449216253556
484,"Learning",0.5,-55.645148757543
484,"Planning",6.5,-29.7819610515886
485,"Equality",0,-56.1449216253556
485,"Equity",1,-53.3794772611993
485,"Exploitation",0,-56.1449216253556
485,"General",0,-56.1449216253556
485,"Learning",1.5,-51.9290487456891
485,"Planning",3.5,-47.1359516772309
486,"Equality",0,-56.1449216253556
486,"Equity",2.5,-41.5801326341326
486,"Exploitation",0,-56.1449216253556
486,"General",0,-56.1449216253556
486,"Learning",2,-51.5799175518355
486,"Planning",6.5,-31.5369610515886
487,"Equality",0,-56.1449216253556
487,"Equity",2.5,-43.3051326341326
487,"Exploitation",0,-56.1449216253556
487,"General",0,-56.1449216253556
487,"Learning",1.5,-52.6490487456891
487,"Planning",7,-29.5032348399141
488,"Equality",0,-56.1449216253556
488,"Equity",2.5,-41.1301326341326
488,"Exploitation",0,-56.1449216253556
488,"General",0,-56.1449216253556
488,"Learning",0.5,-55.415148757543
488,"Planning",6,-34.0016191190739
489,"Equality",0,-56.1449216253556
489,"Equity",2,-48.0340675263042
489,"Exploitation",0,-56.1449216253556
489,"General",0.5,-55.5584814073075
489,"Learning",2,-49.4599175518354
489,"Planning",4,-44.7758990253305
490,"Equality",0,-56.1449216253556
490,"Equity",0.5,-55.424040274033
490,"Exploitation",0,-56.1449216253556
490,"General",0.5,-55.5084814073075
490,"Learning",1.5,-52.9640487456891
490,"Planning",2,-52.677590690713
491,"Equality",0,-56.1449216253556
491,"Equity",1,-52.9894772611993
491,"Exploitation",0,-56.1449216253556
491,"General",0,-56.1449216253556
491,"Learning",1,-54.3403731994092
491,"Planning",2.5,-51.6374100969196
493,"Equality",0,-56.1449216253556
493,"Equity",0,-56.1449216253556
493,"Exploitation",0,-56.1449216253556
493,"General",0,-56.1449216253556
493,"Learning",0,-56.1449216253556
493,"Planning",1.5,-54.2087149422812
494,"Equality",0,-56.1449216253556
494,"Equity",2,-45.1540675263042
494,"Exploitation",0,-56.1449216253556
494,"General",0,-56.1449216253556
494,"Learning",2,-50.0599175518355
494,"Planning",5,-40.3747674457603
495,"Equality",0,-56.1449216253556
495,"Equity",1.5,-50.6826792690679
495,"Exploitation",0,-56.1449216253556
495,"General",0.5,-55.4834814073075
495,"Learning",2.5,-47.77236356987
495,"Planning",3,-49.9495874219319
496,"Equality",0,-56.1449216253556
496,"Equity",4,-33.6219000495136
496,"Exploitation",0,-56.1449216253556
496,"General",0,-56.1449216253556
496,"Learning",2,-50.2999175518355
496,"Planning",6.5,-30.9519610515887
497,"Equality",0,-56.1449216253556
497,"Equity",0.5,-55.414040274033
497,"Exploitation",1,-54.7036448700215
497,"General",2.5,-41.6124292148254
497,"Learning",3.5,-42.2648061717322
497,"Planning",0.5,-55.8365901523299
498,"Equality",0,-56.1449216253556
498,"Equity",0.5,-54.609040274033
